"filename", "language", "JavaScript", "TypeScript", "HTML", "JSON with Comments", "Markdown", "JSON", "SCSS", "CSS", "Vue", "XML", "comment", "blank", "total"
"c:\Users\yzc\Desktop\showTheVibe\src\pages\Payment\detail\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 0, 3, 239
"c:\Users\yzc\Desktop\showTheVibe\src\pages\Payment\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 3, 76
"c:\Users\yzc\Desktop\showTheVibe\src\pages\Payment\other\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 5, 149
"c:\Users\yzc\Desktop\showTheVibe\src\pages\Payment\time\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 3, 121
"c:\Users\yzc\Desktop\showTheVibe\src\pages\Refund\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 4, 151
"c:\Users\yzc\Desktop\showTheVibe\src\pages\Repast\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 3, 79
"c:\Users\yzc\Desktop\showTheVibe\src\pages\Repast\list\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 3, 81
"c:\Users\yzc\Desktop\showTheVibe\src\pages\Search\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\yzc\Desktop\showTheVibe\src\pages\StoreDetail\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 5, 92
"c:\Users\yzc\Desktop\showTheVibe\src\pages\StoreDetail\tabbar\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 235, 0, 0, 7, 242
"c:\Users\yzc\Desktop\showTheVibe\src\static\icon.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 21, 80
"c:\Users\yzc\Desktop\showTheVibe\src\store\attention.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 48
"c:\Users\yzc\Desktop\showTheVibe\src\store\canteen.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 71
"c:\Users\yzc\Desktop\showTheVibe\src\store\collect.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 61
"c:\Users\yzc\Desktop\showTheVibe\src\store\homepage.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"c:\Users\yzc\Desktop\showTheVibe\src\store\index.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\yzc\Desktop\showTheVibe\src\store\note.ts", "TypeScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 94
"c:\Users\yzc\Desktop\showTheVibe\src\store\order.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\yzc\Desktop\showTheVibe\src\store\user.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"c:\Users\yzc\Desktop\showTheVibe\src\types\attention.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\yzc\Desktop\showTheVibe\src\types\canteen.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\yzc\Desktop\showTheVibe\src\types\collect.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\yzc\Desktop\showTheVibe\src\types\comment.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\yzc\Desktop\showTheVibe\src\types\notes.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\yzc\Desktop\showTheVibe\src\types\order.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\yzc\Desktop\showTheVibe\src\types\praise.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\yzc\Desktop\showTheVibe\src\types\user.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\yzc\Desktop\showTheVibe\src\uni.scss", "SCSS", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 27, 16, 83
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\d-search-log\components\d-search-log\d-search-log.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 345, 0, 0, 26, 371
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\d-search-log\package.json", "JSON", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 89
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\d-search-log\readme.md", "Markdown", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 29, 110
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-badge\changelog.md", "Markdown", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-badge\components\uni-badge\uni-badge.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 246, 0, 0, 23, 269
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-badge\package.json", "JSON", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 85
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-badge\readme.md", "Markdown", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-captcha\changelog.md", "Markdown", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-captcha\components\uni-captcha\uni-captcha.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 12, 167
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-captcha\components\uni-popup-captcha\uni-popup-captcha.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 8, 141
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-captcha\package.json", "JSON", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 84
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-captcha\readme.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
